Date,Open,High,Low,Close,Adj Close,Volume
2017-09-07,24.510000,24.549999,23.830000,24.020000,23.782375,80108600
2017-09-08,23.950001,24.000000,23.580000,23.820000,23.584352,44604500
2017-09-11,23.799999,23.889999,23.620001,23.719999,23.485342,43306600
2017-09-12,23.820000,23.910000,23.709999,23.910000,23.673462,49662600
2017-09-13,23.930000,24.180000,23.920000,24.110001,23.871485,38629700
2017-09-14,24.100000,24.270000,23.940001,24.260000,24.020000,42084500
2017-09-15,24.100000,24.170000,23.750000,23.930000,23.930000,66560000
2017-09-18,23.959999,24.549999,23.930000,24.459999,24.459999,52504500
2017-09-19,24.459999,24.469999,24.020000,24.200001,24.200001,45340500
2017-09-20,24.200001,24.410000,24.190001,24.320000,24.320000,39770300
2017-09-21,24.330000,24.840000,24.170000,24.750000,24.750000,52115500
2017-09-22,24.840000,25.040001,24.770000,24.870001,24.870001,39717500
2017-09-25,24.920000,25.180000,24.850000,25.110001,25.110001,42488000
2017-09-26,25.150000,25.209999,24.920000,24.930000,24.930000,40753200
2017-09-27,25.000000,25.049999,24.280001,24.370001,24.370001,56489000
2017-09-28,24.389999,24.450001,24.160000,24.240000,24.240000,36154400
2017-09-29,24.219999,24.290001,24.010000,24.180000,24.180000,33673700
2017-10-02,24.219999,24.610001,24.100000,24.570000,24.570000,42501200
2017-10-03,24.610001,24.830000,24.330000,24.799999,24.799999,33907500
2017-10-04,24.879999,24.889999,24.430000,24.480000,24.480000,32067600
2017-10-05,24.389999,24.570000,24.150000,24.540001,24.540001,34758900
2017-10-06,24.410000,24.540001,24.129999,24.389999,24.389999,39735400
