Date,Open,High,Low,Close,Adj Close,Volume
2017-09-07,52.759998,52.849998,52.340000,52.389999,52.389999,6905800
2017-09-08,52.250000,52.509998,52.110001,52.200001,52.200001,8563300
2017-09-11,52.380001,53.130001,52.320000,53.029999,53.029999,8649900
2017-09-12,53.770000,54.090000,53.299999,53.400002,53.400002,7823700
2017-09-13,53.450001,53.639999,53.040001,53.520000,53.520000,6086000
2017-09-14,53.540001,53.889999,53.119999,53.730000,53.730000,7497400
2017-09-15,53.860001,54.060001,53.520000,53.869999,53.869999,10046800
2017-09-18,53.869999,54.160000,53.400002,53.500000,53.500000,8166400
2017-09-19,52.779999,54.049999,52.509998,53.330002,53.330002,14707200
2017-09-20,53.490002,53.639999,53.040001,53.560001,53.560001,7058000
2017-09-21,53.549999,53.639999,53.090000,53.189999,53.189999,8065400
2017-09-22,53.020000,53.610001,52.799999,53.240002,53.240002,10962400
2017-09-25,53.080002,53.560001,53.000000,53.230000,53.230000,12262400
2017-09-26,53.180000,53.970001,52.980000,53.700001,53.700001,16183700
2017-09-27,52.169998,52.689999,51.029999,52.669998,52.669998,36202500
2017-09-28,52.799999,53.029999,52.330002,52.630001,52.630001,11334700
2017-09-29,52.590000,52.820000,51.759998,51.849998,51.849998,12189900
2017-10-02,52.160000,52.209999,51.660000,51.869999,51.869999,7516200
2017-10-03,52.000000,52.049999,51.400002,51.470001,51.470001,8126700
2017-10-04,51.509998,52.130001,51.400002,52.080002,52.080002,8204300
2017-10-05,52.009998,52.320000,51.779999,52.180000,52.180000,5287400
2017-10-06,52.200001,52.459999,52.119999,52.419998,52.419998,5233900
