Date,Open,High,Low,Close,Adj Close,Volume
2016-10-03,112.709999,113.050003,112.279999,112.519997,110.569603,21701800
2016-10-04,113.059998,114.309998,112.629997,113.000000,111.041290,29736800
2016-10-05,113.400002,113.660004,112.690002,113.050003,111.090431,21453100
2016-10-06,113.699997,114.339996,113.129997,113.889999,111.915863,28779300
2016-10-07,114.309998,114.559998,113.510002,114.059998,112.082916,24358400
2016-10-10,115.019997,116.750000,114.720001,116.050003,114.038429,35826200
2016-10-11,117.699997,118.690002,116.199997,116.300003,114.284088,64041000
2016-10-12,117.349998,117.980003,116.750000,117.339996,115.306061,37586800
2016-10-13,116.790001,117.440002,115.720001,116.980003,114.952301,35192400
2016-10-14,117.879997,118.169998,117.129997,117.629997,115.591034,35652200
2016-10-17,117.330002,117.839996,116.779999,117.550003,115.512428,23624900
2016-10-18,118.180000,118.209999,117.449997,117.470001,115.433815,24250700
2016-10-19,117.250000,117.760002,113.800003,117.120003,115.089874,20034600
2016-10-20,116.860001,117.379997,116.330002,117.059998,115.030914,24125800
2016-10-21,116.809998,116.910004,116.279999,116.599998,114.578880,23192700
2016-10-24,117.099998,117.739998,117.000000,117.650002,115.610680,23538700
2016-10-25,117.949997,118.360001,117.309998,118.250000,116.200294,48129000
2016-10-26,114.309998,115.699997,113.309998,115.589996,113.586395,66134200
2016-10-27,115.389999,115.860001,114.099998,114.480003,112.495644,34562000
2016-10-28,113.870003,115.209999,113.449997,113.720001,111.748817,37861700
2016-10-31,113.650002,114.230003,113.199997,113.540001,111.571930,26419400
